feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554758	0.0126167881544111	0.00439112729202164	0.255339001642787	0.220383898100977	0.0178757192931138	0.0777524145889731	0.00216962024952348	0.0567097201664493	0.0988743221112194	NA	0.052534105609427	0.065261305319038	0.0278343326611652	0.0495188080773908	NA	0.0328632581653383	NA	NA	NA
SRR16554759	0.0025047	0.0019474	0.2576677	0.3512586	0.0280734	0.1106297	NA	2.87e-05	0.0320327	0.0001547	0.1584649	1.96e-05	2.6e-05	0.0090622	NA	0.0081962	0.0046792	NA	NA
SRR16554760	NA	0.000286659969870465	0.0575985454123217	0.168230697170352	0.255117243322909	0.305283645202044	NA	NA	0.0453636378480666	NA	0.0304353965795539	0.0294481130335338	0.01747688426013	0.00631423012747902	NA	0.00268002881114128	0.00273854010245977	NA	NA
SRR16554761	0.0109570629302058	NA	0.313752100158941	0.411572644068381	0.00548867359042551	0.0273206431391784	NA	NA	0.0495081476942158	0.000243003284111917	NA	NA	0.0903833590861772	0.0156637225962577	NA	0.0343961771016905	NA	NA	NA
SRR16554762	0.0060214553583894	0.000970000165536145	0.128755158819438	0.208729522580223	0.0162514850101815	0.250890121167253	0.0238308541259051	0.071986672153999	0.0923895746376971	NA	0.036622946037403	0.00166868763048335	0.0169387202889949	0.0464912948289319	0.0314312536198018	0.0222679430509852	NA	NA	NA
SRR16554763	0.00981711476187321	0.00249440190932423	0.064500666541338	0.0400366609006445	0.0891457901952378	0.350710744502105	0.00288751928957558	0.108779343484959	0.102619753156548	NA	0.0760580695682516	NA	0.00851942166662835	0.026375944642581	0.00491633407223171	0.00222233041966633	NA	NA	NA
SRR16554764	0.0125178097266913	NA	0.110255923639044	0.131316814413911	0.0492835674233786	0.0813907557663689	0.0056695481917184	NA	0.0716490486172012	NA	0.0926092580506467	0.201681185369894	0.0363923934890972	0.0690356007597733	0.0147497657203095	0.0163157618824302	NA	NA	NA
SRR16554765	0.0108408890561238	1.06413634906737e-05	0.223669755074121	0.289666108066026	0.0253945498341437	0.170586909505419	0.00418067247458098	0.0611792205669463	0.0736412149372394	NA	0.0279018678998162	NA	0.0401236866961248	0.0109554965409184	NA	0.0091265653977763	0.000121737198333307	NA	NA
SRR16554766	0.0167534407217033	0.0888211954894035	0.039350770696601	0.0633708987066567	0.0887388889202828	0.125380053654055	0.00128582516266604	0.00213616258274574	0.262018540353191	0.000146063448782833	0.0353119750652863	0.00070488819942464	0.00690674960548127	0.026956875534532	NA	0.00473250487881402	0.000545680268707607	0.0251909696672038	NA
SRR16554767	0.0119029472949991	0.00537570864392757	0.356595155515938	0.0762617020496163	0.011381154802127	0.111131903110319	0.00465281469263325	0.208217445755298	0.0612024982227499	0.000193648943460447	0.0243670456775122	0.00456874100822047	0.0358283150154785	0.020243941774898	NA	0.0213435370684019	0.000114116635352519	NA	NA
SRR16554768	0.00312213468844692	0.000303593978067602	0.261477114159529	0.40869277283556	0.0211712828282155	0.0635626813411403	0.0101975458376108	NA	0.0594819150738725	0.0289996157826481	0.0519407892329123	NA	0.00631014457256666	0.0024638197147746	NA	0.00790065365017955	0.0223982220033423	NA	NA
SRR16554769	NA	0.0217976400611384	0.0235563684207705	0.0506363393030284	0.144113209279129	0.275435036824111	0.00390960737729666	0.211122459667259	0.0665387742068691	2.81135016595465e-05	0.004465208626373	NA	0.0101485818176778	0.010549624187863	0.00606192476016241	0.0100998081613103	0.00222279727772387	0.000734612336387593	NA
SRR16554770	0.0116555176442816	NA	0.234049378256362	0.473507624793597	0.0208729578251823	0.0191998600241241	0.0179325608305153	NA	0.0746327507200307	9.94986970188691e-05	0.0278730864855202	0.0168775049875134	0.0410876224134318	0.0276771695464985	NA	NA	NA	0.00187743465045718	NA
SRR16554771	0.014030490496701	0.000526150051730809	0.31681913903571	0.249812614306338	0.00710883156550893	0.0550706206503935	0.0487565004406067	0.0492138323240002	0.0699358776596198	NA	0.0255759633265211	0.0098637954221217	0.0218880125994774	0.048980745400901	NA	0.014465983797263	0.00771115033296914	NA	NA
SRR16554772	0.00548042716388152	NA	0.129665262424691	0.340808474036396	0.00197715535031066	0.0457147071108186	0.0101706325451153	0.190039404707165	0.0263672355106727	NA	0.07363367338381	0.00297910823404694	0.0389005805770075	0.0226047222025984	NA	0.0350126811437032	NA	NA	NA
SRR16554773	0.028049712180523	0.0010430698960026	0.383567804816425	0.217025105234049	0.00727302541640863	0.0661383200496337	0.00755618974890684	NA	0.0664642368664538	0.0906420708713716	0.0555987553470373	4.87627805263228e-05	0.007132066960143	0.0212941392467693	NA	0.0178895899515105	NA	NA	NA
SRR16554774	0.0180901231364215	1.66435415205961e-05	0.275277027060289	0.384454557154039	0.00909803960178334	0.0975752235333113	0.00406301666768638	NA	0.0319776348308536	0.0976933692364998	0.0113956687878978	NA	0.0136242624391134	0.00205993128327097	NA	0.0214836474860399	0.00010747977165061	NA	NA
SRR16554775	0.0106598631353209	NA	NA	0.463636379329095	0.0274580950457472	0.172034286943998	0.0243517398086564	NA	0.114654233420276	0.0429768671878641	NA	0.000951942004268318	NA	0.0816873724409798	NA	0.0178143885711721	0.0025302646092659	NA	NA
SRR16554776	0.0140147889978499	0.00182742881165459	0.16771244946153	0.169544105714209	0.0383798801990185	0.20496184147331	0.00981071632813867	NA	0.166868487832603	4.21569813252793e-05	0.0664992913164839	NA	0.0582594216156105	0.0442820924423923	NA	0.0294684345198743	4.56798488454976e-05	NA	NA
SRR16554777	0.0286023919861098	0.00147013894022104	0.0335673830093373	0.107811643216201	0.226410994953986	0.14866166124703	0.00871226224765721	0.0100444120572335	0.0186281586827635	0.0573447675257103	0.067337823194664	0.0540730414985794	0.0486917147062882	0.00623182348460324	0.0135494855573246	0.00132479537533231	8.31425023848934e-05	0.0026871108304515	NA
