feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554696	NA	NA	-2.51547213449742	-1.36322549713374	-4.06525455348868	-5.29334446326478	-6.33748094207695	-4.07947192023682	-4.0934432692456	-12.7992329836752	-4.33114987187412	-6.89772501633491	-3.57741563379113	-7.47281107562354	NA	-5.62418103289691	-5.95082643232879	NA	NA
SRR16554697	-6.02614381116697	-11.7516593350397	-3.3594203861082	-2.88383421534162	-4.71186670825038	-2.39201124321787	-7.86510918771538	NA	-3.47332684167822	-14.5187868997162	-2.42409972236919	-6.98947550043639	-4.56912798819509	-3.71805216334315	-5.58843130003862	-5.24555493341809	-13.8314317537692	NA	NA
SRR16554698	NA	-12.1626274786241	-7.22333254058789	-5.96082181042642	-1.81550802223159	-1.19878415663897	-10.4645028640141	-8.65935626175231	-6.6104687615485	-10.7971046074687	-3.03843569324943	-3.78342742088816	-7.68934800203863	-8.9818624752773	NA	NA	-10.9850974097509	NA	NA
SRR16554699	-4.83211737915807	-9.26624316677348	-2.77380170689138	-1.46554273199203	-10.0881804210166	-4.14356888016383	-7.09318948395764	NA	-3.16216710628839	-4.32401496198546	-3.10244357636429	-4.68815316760588	-5.89594626232504	-8.67722226682123	NA	-5.4358656775284	-7.8268209639588	-7.92330293336329	NA
SRR16554700	-8.59949819303682	-11.151520891801	-2.73841140910816	-4.27112793598981	-5.33541290849941	-4.53118348506383	-6.61327151907014	-0.903694942698042	-4.84044372776445	-7.77446955115001	-4.28021190324508	NA	-5.63236544266038	-5.05255607895577	NA	-6.72665025498866	-12.0908972725921	NA	NA
SRR16554701	-5.62667047560307	-12.6380955886982	-1.43337562612228	-3.58003107491845	-6.30104664229053	-3.87575881160804	-6.55427094534623	-2.01464508598767	-4.5783330218141	NA	-4.0014889258271	NA	-5.10335145815261	-6.6215672204726	NA	-6.49695927450886	-11.3628607292589	NA	NA
SRR16554702	NA	-10.5980906460095	-2.76506348252255	-2.85393690454316	-3.00167682619569	-2.34368670442787	-6.660245469331	NA	-3.47096972454829	NA	-2.61706359310445	-7.60751596636668	-7.53309223351604	-4.8602630429161	NA	-6.37567006930688	-6.62232148985402	NA	NA
SRR16554703	-8.4341413652206	-9.94082596507021	-5.41161442126325	-5.24179009669586	-2.56307057099598	-2.34193574655727	-8.05975454297021	-5.48692996062738	-1.77563471175683	-14.5327211799532	-4.29771690575062	NA	-4.27476114737314	-5.44111764200935	-6.9220163392619	-8.2009240255988	-8.05105005057233	NA	-7.3586325535694
SRR16554704	NA	-12.3316071328089	-3.49899299883941	-2.35306906352742	-4.52793825049741	-1.64662879525648	-8.60770651510217	NA	-4.74790695998468	-4.36468653282595	-4.90966461607358	-3.20579331412601	-6.11295983227242	-6.96734758699101	NA	-6.71691313525866	-7.87772740830604	NA	NA
SRR16554705	-7.21241465867567	-12.1800402272836	-3.56752689948833	-2.53049055628018	-2.86855313310459	-1.98482470793144	-5.22217742627407	-6.06342288471368	-3.28729685740686	-8.77745264810902	-3.56388098108463	-8.09112821488755	-6.57989711986554	-5.87397975469462	NA	-7.47510446978357	NA	-9.79157924903826	-14.6717970444554
SRR16554706	-5.94671292759771	-6.63767192030587	-4.24035374279203	-2.9935486612679	-1.62057534853157	-2.9178966872023	NA	-8.92330518204023	-4.55320893696094	NA	-2.98445494928532	-4.74808883870632	-6.05347473551625	-5.86415280197874	NA	-8.01225403314692	-13.2740059265562	-8.76834734450659	NA
SRR16554707	-6.51053674506044	-8.63791673088106	-3.64116206900938	-1.30034283950243	-6.58464966104232	-3.22806207142793	-6.06802795184796	-16.336364175446	-3.16380644673876	NA	-3.41302637212798	-5.61529664179558	-4.56692040155458	-4.23751571287608	NA	-6.17594413226754	-14.2520478895125	NA	NA
SRR16554708	NA	-11.6177781110719	-1.90201506657229	-1.96587515028784	-7.85265014182275	-2.62570944719332	-17.4721365178783	NA	-3.18773432768099	NA	-6.08733314875685	NA	-3.65384122311282	-5.0552910195648	-5.24188677183913	-5.5389287195293	NA	NA	NA
